10	0.586051
110	0.533389
210	0.51438
310	0.517249
410	0.483931
510	0.494675
610	0.495334
710	0.496155
810	0.506792
910	0.497219
1010	0.506585
1110	0.480959
1210	0.505643
1310	0.489667
1410	0.491241
1510	0.496378
1610	0.502018
1710	0.496978
1810	0.491577
1910	0.495577
2010	0.49026
2110	0.509643
2210	0.505149
2310	0.497621
2410	0.510438
2510	0.491415
2610	0.490966
2710	0.499019
2810	0.504397
2910	0.497313
3010	0.491362
3110	0.506493
3210	0.499948
3310	0.500857
3410	0.494943
3510	0.513209
3610	0.498929
3710	0.504318
3810	0.503997
3910	0.499026
4010	0.5001
4110	0.498605
4210	0.498911
4310	0.507443
4410	0.497065
4510	0.514808
4610	0.498266
4710	0.499225
4810	0.495642
4910	0.502453
