0	1	1
0.1	0.995004	0.990033
0.2	0.980067	0.960531
0.3	0.955337	0.912668
0.4	0.921061	0.848353
0.5	0.877583	0.770151
0.6	0.825336	0.681179
0.7	0.764842	0.584984
0.8	0.696707	0.4854
0.9	0.62161	0.386399
1	0.540302	0.291926
1.1	0.453596	0.205749
1.2	0.362358	0.131303
1.3	0.267499	0.0715555
1.4	0.169967	0.0288888
1.5	0.070737	0.00500372
1.6	-0.0291998	0.000852627
1.7	-0.128845	0.016601
1.8	-0.227202	0.0516209
1.9	-0.32329	0.104516
2	-0.416147	0.173178
2.1	-0.504846	0.25487
2.2	-0.588501	0.346334
2.3	-0.666276	0.443924
2.4	-0.737394	0.543749
2.5	-0.801143	0.641831
2.6	-0.856889	0.734258
2.7	-0.904072	0.817346
2.8	-0.942222	0.887783
2.9	-0.970958	0.942759
3	-0.989992	0.980085
3.1	-0.999135	0.998271
3.2	-0.998295	0.996593
3.3	-0.98748	0.975117
3.4	-0.966798	0.934699
3.5	-0.936457	0.876952
3.6	-0.896759	0.804177
3.7	-0.848101	0.719275
3.8	-0.790969	0.625631
3.9	-0.725933	0.526979
4	-0.653645	0.427252
4.1	-0.574825	0.330424
4.2	-0.490262	0.240357
4.3	-0.400801	0.160641
4.4	-0.307335	0.0944546
4.5	-0.210798	0.0444357
4.6	-0.112155	0.0125786
4.7	-0.0123908	0.000153531
4.8	0.0874968	0.00765569
4.9	0.18651	0.034786
5	0.28366	0.0804629
5.1	0.377975	0.142865
5.2	0.468514	0.219506
5.3	0.554372	0.307328
5.4	0.634691	0.402832
5.5	0.708668	0.50221
5.6	0.775564	0.6015
5.7	0.834711	0.696743
5.8	0.885518	0.784142
5.9	0.927477	0.860214
6	0.960169	0.921925
6.1	0.983268	0.966816
6.2	0.996542	0.993096
